salary_id,emp_id,salary_month,amount
4504017,7087500,2024-09-25,
4504018,7087500,,9370.35
4504019,,2024-11-24,3679.19
,7087500,2024-12-24,7730.6
4504021,7087520,2020-02-19,14822.82
4504022,7087520,2020-03-20,6668.04
4504023,7087520,2020-04-19,5948.5
4504024,7087520,2020-05-19,6760.61
4504025,7087520,2020-06-18,12243.51
4504026,7087520,2020-07-18,3069.33
4504027,7087520,2020-08-17,12849.55
4504028,7087520,2020-09-16,13361.52
4504029,7087520,2020-10-16,5482.07
4504030,7087520,2020-11-15,12287.98
4504031,7087520,2020-12-15,9247.67
4504032,7087520,2021-01-14,11684.05
4504033,7087520,2021-02-13,13201.85
4504034,7087520,2021-03-15,5000.9
4504035,7087520,2021-04-14,7511.35
4504036,7087520,2021-05-14,11958.64
4504037,7087520,2021-06-13,3903.62
4504038,7087520,2021-07-13,5822.87
4504039,7087520,2021-08-12,9035.41
4504040,7087520,2021-09-11,5094.17
4504041,7087520,2021-10-11,9397.57
4504042,7087520,2021-11-10,12942.52
4504043,7087520,2021-12-10,4074.86
4504044,7087520,2022-01-09,3203.39
4504045,7087520,2022-02-08,7713.54
4504046,7087520,2022-03-10,4963.95
4504047,7087520,2022-04-09,4067.73
4504048,7087520,2022-05-09,13682.49
4504049,7087520,2022-06-08,5994.39
4504050,7087520,2022-07-08,13753.04
4504051,7087520,2022-08-07,11624.02
4504052,7087520,2022-09-06,7798.22
4504053,7087520,2022-10-06,6272.14
4504054,7087520,2022-11-05,5127.87
4504055,7087520,2022-12-05,8621.68
4504056,7087520,2023-01-04,9497.98
4504057,7087520,2023-02-03,14661.43
4504058,7087520,2023-03-05,5610.08
4504059,7087520,2023-04-04,13439.72
4504060,7087520,2023-05-04,11136.35
4504061,7087520,2023-06-03,10089.66
4504062,7087520,2023-07-03,9460.31
4504063,7087520,2023-08-02,6748.06
4504064,7087520,2023-09-01,5770.74
4504065,7087520,2023-10-01,8382.37
4504066,7087520,2023-10-31,6409.04
